batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
214,14:01:04,4.15,12.881,4.475,1.348,7.838,13.716,4.85,10.638,9.685,10.319
583,14:01:04,12.441,7.91,3.302,4.287,7.274,5.848,9.803,10.568,11.444,8.383
866,14:01:04,6.466,13.888,9.653,7.668,13.932,8.542,2.015,4.332,11.886,4.617
45,14:01:04,9.739,3.767,9.909,4.911,1.689,2.204,3.487,12.306,2.861,9.866
214,14:01:04,4.062,5.055,13.215,6.587,2.765,8.086,10.146,12.441,8.074,2.09
525,14:01:04,13.34,3.151,11.351,8.378,8.358,1.937,12.047,12.027,4.297,11.669
541,14:01:04,10.89,4.402,2.939,7.94,5.431,14.446,13.568,1.643,7.741,10.245
541,14:01:04,9.936, ,4.619,4.457, ,7.969,13.759,3.262,12.543,2.61
117,14:01:04,1.451,12.848,4.374,5.202,10.471,8.859,1.068,14.411,3.811,3.887
698,14:01:04,13.824,14.245,11.18,9.097,13.939,5.421,1.171,10.986,2.645,7.016
