batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
852,14:01:04,5.623,4.955,1.498,8.644,2.19,1.603,3.044,2.206,7.424,1.283
807,14:01:04,6.468,1.545,5.639,2.675,4.378,2.582,6.337,6.024,2.699,1.332
423,14:01:04,8.922,6.695,3.564,3.996,1.469,8.783,4.483,3.924,2.115,3.238
196,14:01:04,8.642,3.075,1.898,8.837,4.27,4.15,4.76,5.894,3.972,7.081
746,14:01:04,7.459,8.354,6.15,7.206,1.294,1.087,2.778,4.668,3.574,2.319
466,14:01:04,6.035,3.671,1.671,7.135,3.848,8.218,3.584,3.362,4.164,2.732
625,14:01:04,7.945,4.269,2.488,3.173,4.805,2.823,5.113,4.645,6.304,8.889
479,14:01:04,1.304,6.936,5.445,3.97,4.701,8.736,8.076,8.376,3.263,6.402
784,14:01:04,2.126,1.982,7.113,8.186,1.654,7.408,7.382,3.761,5.002,6.872
675,14:01:04,4.184,1.302,7.189,8.66,2.132,7.49,2.922,6.44,3.573,7.827
