batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
373,14:01:04,4.485,3.32,6.287,7.593,7.126,3.289,1.347,2.348,3.49,4.121
328,14:01:04,5.265,7.372,3.716,3.297,6.717,8.421,4.697,4.371,1.101,3.008
702,14:01:04,3.744,8.83,6.121,1.437,1.094,6.291,2.179,7.963,5.694,4.516
198,14:01:04,5.677,6.041,4.441,6.778,4.975,3.588,4.107,5.285,8.24,8.126
819,14:01:04,1.646,5.299,3.287,1.353,7.304,3.165,2.793,3.696,1.622,6.506
566,14:01:04,2.207,3.783,7.993,7.119,4.475,1.692,3.211,3.493,6.799,8.229
982,14:01:04,2.026,7.029,5.274,8.348,1.256,1.528,8.854,4.072,8.197,2.565
265,14:01:04,3.471,2.667,2.663,4.016,2.302,1.815,8.1,6.051,3.196,8.402
924,14:01:04,3.59,7.969,1.284,7.958,8.238,3.261,3.578,4.905,5.854,1.934
669,14:01:04,5.035,6.347,8.332,2.172,2.74,5.717,6.877,8.696,4.33,7.82
