batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
351,14:01:04,2.087,5.786,1.443,5.01,2.455,5.381,6.146,4.467,8.067,6.36
586,14:01:04,1.394,7.005,3.229,4.384,1.779,7.27,7.021,2.088,5.471,1.63
975,14:01:04,6.723,6.808,5.139,6.619,1.763,5.739,5.687,1.368,6.675,8.995
518,14:01:04,6.872,7.245,3.793,4.672,1.793,5.654,4.833,2.204,8.709,3.125
351,14:01:04,3.395,4.365,7.566,4.317,8.658,5.507,2.034,5.38,4.27,8.251
676,14:01:04,5.157,8.152,6.875,3.104,1.894,2.264,8.778,1.169,7.588,8.89
9,14:01:04,2.065,7.402,6.277,7.975,4.708,8.722,1.472,8.418,2.771,2.438
9,14:01:04,4.81,6.139,7.161,3.2,8.618,8.311,4.094,8.024,5.456,8.773
94,14:01:04,6.167,1.523,7.124,8.856,3.616,8.356,1.349,7.739,2.744,7.794
913,14:01:04,7.009,8.793,6.539,7.405,5.866,4.147,4.054,1.095,5.679,5.385
