batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
166,14:01:04,7.223,3.389,4.696,6.752,8.778,7.408,8.14,1.77,3.843,5.966
793,14:01:04,6.287,6.861,8.051,4.973,1.333,1.602,2.426,2.899,4.126,7.053
873,14:01:04,8.133,1.83,8.139,4.005,3.714,7.682,1.857,2.295,6.703,2.068
249,14:01:04,7.427,7.57,3.067,4.365,5.976,3.692,3.325,8.361,4.109,8.851
141,14:01:04,4.958,7.976,7.818,5.16,5.136,8.87,7.552,3.186,4.485,7.474
164,14:01:04,7.962,7.58,6.624,4.704,5.225,2.372,7.495,5.789,8.824,7.085
844,14:01:04,2.803,2.786,4.575,7.004,3.875,3.403,2.483,6.355,5.528,8.997
798,14:01:04,7.49,5.368,1.664,7.321,8.608,7.284,1.376,8.448,3.607,4.323
602,14:01:04,1.665,7.281,2.878,6.721,6.62,8.104,2.423,1.191,4.659,4.544
237,14:01:04,6.385,6.517,3.851,7.734,7.09,7.515,5.074,6.345,2.402,4.397
