batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
759,14:01:04,8.438,1.99,4.1,2.885,5.872,8.473,8.401,5.743,6.124,7.97
428,14:01:04,8.772,6.474,6.385,4.77,3.512,5.608,2.724,8.051,8.282,1.998
5,14:01:04,1.752,6.353,6.812,8.485,7.935,4.518,5.423,1.572,6.497,6.141
450,14:01:04,4.171,8.31,8.737,2.484,7.516,6.704,1.109,2.47,8.478,8.306
775,14:01:04,7.725,5.799,6.505,7.023,2.394,7.001,7.403,8.989,5.215,1.337
130,14:01:04,4.823,4.468,4.664,5.71,2.66,7.136,6.729,3.553,6.432,8.864
745,14:01:04,1.358,4.722,6.783,7.377,8.912,3.969,4.274,8.093,2.019,1.467
226,14:01:04,6.054,7.221,5.249,5.919,3.155,4.493,8.771,4.867,8.003,5.473
387,14:01:04,4.237,4.167,2.525,3.614,4.528,1.245,3.423,2.288,5.462,2.492
248,14:01:04,1.872,8.166,8.835,4.61,6.836,8.285,6.369,6.663,1.985,8.24
