batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
777,14:01:04,9.008,12.59,6.171,14.649,4.494,13.597,13.667,5.788,11.092,2.744
274,14:01:04,3.594,2.834,2.735,7.784,5.322,14.73,3.055,12.064,1.394,11.125
202,14:01:04,11.605,5.277,10.77,7.732,6.625,11.342,8.882,1.898,4.887,4.996
766,14:01:04,7.259,10.361,13.904,3.005,3.002,11.984,9.463,8.498,2.109,9.162
60,14:01:04,9.683,6.164,7.824,12.743,7.986,2.377,13.281,12.622,4.086,5.599
717,14:01:04,9.216,4.089,11.373,1.366,10.418,10.557,9.296,12.127,13.15,2.13
218,14:01:04,14.103,7.844,5.753,3.311,2.249,1.25,8.654,11.659,1.017,1.507
696,14:01:04,7.864,11.026,8.443,1.443,3.365,2.807,8.973,12.871,14.559,2.559
367,14:01:04,2.864,6.636,10.073,10.592,9.979,3.603,7.446,5.213,11.384,4.908
640,14:01:04,6.134,8.706,7.79,1.178,12.537,7.288,3.349,7.551,12.78,4.088
