batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
725,14:01:04,8.71,3.129,8.903,1.863,2.353,8.008,6.145,7.552,7.701,8.206
34,14:01:04,1.377,4.742,8.788,8.827,7.195,8.075,7.738,1.685,6.929,4.685
305,14:01:04,5.788,2.273,6.048,3.151,1.306,6.861,1.775,3.502,6.35,2.315
802,14:01:04,5.953,3.48,3.969,3.434,8.899,2.749,4.615,5.893,3.19,1.202
659,14:01:04,3.251,6.719,6.841,6.119,8.687,6.228,4.926,8.743,3.375,1.263
890,14:01:04,5.796,1.585,7.275,8.693,2.118,8.48,3.395,3.067,7.328,5.411
692,14:01:04,4.915,2.139,4.061,1.6,8.298,4.14,7.311,1.242,2.144,6.755
936,14:01:04,5.988,2.99,1.489,2.523,4.333,5.1,5.343,1.905,2.918,5.261
548,14:01:04,1.549,1.415,8.397,5.726,7.519,6.5,2.575,3.678,5.523,6.139
593,14:01:04,1.761,4.795,2.694,7.367,5.207,1.5,5.899,2.288,1.605,3.397
