batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
89,14:01:04,1.091,8.728,5.847,4.945,3.275,1.107, ,1.289,1.098,3.155
451, ,1.637,1.119,7.811,6.863,1.536,3.769,8.561,6.642,3.64, 
182,14:01:04,7.812,6.466,1.286,2.282,8.54,4.656,7.889,1.58,1.495,8.114
574,14:01:04,8.556,1.207,8.236,1.981,1.657,6.462,7.555,2.72,3.857,7.649
89,14:01:04,8.493,8.085,2.864,3.921,8.875,7.898,8.207,6.437,5.005,6.625
157,14:01:04,8.48,5.162,2.892,6.714,8.066,8.805,8.64,4.409,4.775,7.988
829,14:01:04,4.631,2.226,5.732,4.961,3.806,1.214,8.492,6.355,6.4,1.784
829,14:01:04, ,7.693,6.323,6.477,2.86,7.397,1.974,6.132,5.311,7.906
135,14:01:04,1.476,6.037,3.348,2.16,1.011,5.484,6.578,3.86,5.657,2.74
126,14:01:04,4.589,7.588,5.641,8.547,1.129,1.015,4.538,1.818,8.065,8.737
