batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
131,14:01:04,7.39,7.929,1.035, ,5.642,2.322,1.674,7.954,1.458,7.023
680,14:01:04,2.699,6.799,6.212,2.043,3.181,2.83,2.689,5.65,5.721,3.314
442,14:01:04,2.419,5.557,5.665,3.585,3.002,7.374,4.018,4.512,5.206,8.972
85,14:01:04,4.732,6.864,8.365,2.065,8.117,7.308,1.799,8.474,2.07,4.052
173,14:01:04,6.105,2.062,8.922,4.027,5.727,5.696,2.675,1.119,1.077,2.696
31,14:01:04,7.275,7.999,8.853,1.289,6.349,7.087,1.804,7.177,4.24,8.223
734,14:01:04, ,7.331,5.484,2.243,1.737,6.329,4.677,4.554,1.814,7.106
689,14:01:04,1.292,3.52,3.846,3.823,5.859,3.722,2.167,7.696,1.315,6.357
884,14:01:04,2.893,7.886,5.448,2.545,8.638,8.419,7.27,2.836,7.52,4.546
546,14:01:04,8.84,6.641,5.975,7.271,3.735,5.201,7.158,7.861,2.749,2.638
