batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
470,14:01:04,12.449,12.857,5.124,5.692,9.837,12.08,7.43,6.613,2.842,1.131
127,14:01:04,12.4,7.622,13.931,13.517,7.414,7.599,13.047,14.665,8.623,7.958
183,14:01:04,14.848,9.191,1.637,3.728,3.204,12.568,12.815,11.007,14.771,3.8
260,14:01:04,11.574,4.88,14.861,11.552,7.187,4.724,2.077,9.04,5.237,9.815
470,14:01:04,5.644,2.611,14.906,4.676,3.448,4.357,5.595,13.805,10.181,6.258
856,14:01:04,7.333,9.239,1.944,13.704,1.938,7.233,14.353,1.215,14.915,10.422
561,14:01:04,1.303,6.66,10.296,6.367,6.307,6.668,9.118,10.591,5.006,5.832
561,14:01:04,13.548,8.22,13.783,4.185,14.794,3.592,13.121,3.319,5.511,3.753
78,14:01:04,3.223,10.738,5.855,5.997,13.415,6.042,9.485,9.874,4.785,13.948
463,14:01:04,7.721,12.553,12.616,3.162,3.486,14.319,13.361,8.844,4.405,3.656
