batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
539,14:01:04,4.534,3.185,7.029,8.68,3.394,5.0,6.991,5.201,7.851,3.216
521,14:01:04,8.395,8.466,1.788,2.134,5.871,7.569,5.415,3.423,6.437,7.514
631,14:01:04,4.687,5.619,8.226,8.609,3.122,5.356,5.018,2.826,4.905,8.452
210,14:01:04,8.781,8.641,8.579,5.09,6.48,1.461,7.796,1.764,6.56,2.374
870,14:01:04,8.084,6.822,6.287,1.159,5.79,6.247,6.691,4.392,2.863,6.743
8,14:01:04,6.886,6.882,2.679,2.78,5.647,1.846,7.626,6.541,6.777,3.776
775,14:01:04,4.375,3.026,1.42,2.68,8.357,5.992,5.658,4.36,6.384,2.765
144,14:01:04,4.848,1.209,5.424,8.148,3.165,7.304,3.322,7.803,6.614,5.82
647,14:01:04,5.539,3.151,5.228,8.499,6.889,1.134,5.583,4.064,6.164,7.317
44,14:01:04,1.557,3.34,2.67,3.475,3.142,3.112,1.019,8.702,3.917,7.328
