batch_id,timestamp,reading1,reading2, ,reading4,reading5,reading6,reading7,reading8,reading9,reading10
121,14:01:04,2.95,8.341,3.999,3.943,4.278,7.289,5.052,7.116,8.139,5.484
536,14:01:04,5.343,7.335,3.243,3.257,5.987,8.074,5.691,5.903,4.218,6.378
230,14:01:04,1.212,7.117,2.07,1.432,2.799,4.989,1.289,5.873,7.067,1.562
95,14:01:04,8.065,6.724,2.556,6.838,5.599,5.544,1.978,5.889,8.516,5.962
616,14:01:04,7.944,8.795,7.3, ,7.71,2.966,2.514,4.319,7.447,3.534
687,14:01:04,5.482,6.601,1.865,7.325,5.53,7.23,4.464,6.607,7.478,6.278
345,14:01:04,6.259,6.44,5.807,7.414,7.048,5.637, ,3.853, ,2.322
210,14:01:04, ,5.663,5.362,3.937,8.612,5.28,7.184,4.66,2.627,6.684
 , ,5.247,4.588,5.878,7.839, ,5.276,4.186,6.69, ,2.103
650,14:01:04,5.833,3.914,4.408,8.706,4.247,6.043,3.149,8.848,7.118,3.743
