batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
557,14:01:04,10.075,14.17,2.539,9.793,8.91,2.535,10.687,3.946,6.502,12.72
989,14:01:04,9.305,9.174,3.742,10.279,4.832,14.967,4.943,13.494,10.24,5.279
227,14:01:04,3.062,11.898,6.489,4.946,11.316,10.164,14.411,5.957,2.306,10.608
227,14:01:04,12.684,11.403,12.998,11.469,10.17,7.324,2.383,4.541,8.132,9.756
557,14:01:04,1.611,8.044,11.788,6.954,1.645,7.885,4.224,5.7,13.667,14.0
149,14:01:04,7.704,14.042,7.308,5.596,2.872,12.871,1.953,11.44,4.101,10.733
313,14:01:04,6.634,8.297,9.387,13.152,6.878,13.711,3.773,9.611,6.267,5.578
227,14:01:04,4.236,9.011,9.103,9.643,5.073,12.642,11.814,1.116,9.593,1.92
313,14:01:04,8.837,6.677,10.891,10.772,2.144,8.731,1.13,13.945,11.435,1.351
557,14:01:04,7.894,9.891,12.197,3.754,10.368,7.461,4.482,11.873,2.391,4.664
