batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
766,14:01:04,10,415,13,423,9,839,10,406,8,907,2,339,2,533,3,886,9,459,5,795
878,14:01:04,13,355,7,972,3,364,5,36,11,376,3,979,14,852,3,186,3,883,3,781
815,14:01:04,12,925,1,356,7,368,3,306,7,764,1,57,7,34,4,301,5,204,4,344
67,14:01:04,2,846,1,185,9,635,9,18,5,085,7,843,9,884,4,971,1,203,5,903
766, ,5,794,13,689,12,183,9,738,14,755,10,744, ,1,314,13,706,11,679
943,14:01:04,5,053,2,887,12,509,6,117,2,918,6,08, ,13,346,5,967,8,459
67,14:01:04,11,477,2,448,12,41,13,873,5,71,2,914,2,693,11,593,2,784,9,516
878,14:01:04,14,86,6,461,3,997,5,64,6,589,11,322,2,021,14,576,4,277,1,76
815,14:01:04,14,129,7,848,11,579,3,849,2,067,3,958,14,148,12,633,5,682, 
555, ,4,871,4,359,6,89,8,306,5,863,8,939,11,344,5,447,4,045,11,756
