batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
560,14:01:04,1.831,2.583,6.536,4.317,4.008,3.222,3.023,7.942,4.131,6.982
283,14:01:04,6.791, ,5.377,6.42,6.909,6.23,4.7,1.304,7.963,8.136
436,14:01:04,1.287,6.139,6.353,4.747,1.573,3.416,7.969,5.323,4.238,6.884
538,14:01:04,1.476,6.17,2.955,6.427,8.679,2.334,1.707,3.772,7.969,2.33
8,14:01:04,5.521,3.404,8.489,3.902,3.519,7.059,1.195,5.089,7.218,1.438
283,14:01:04, ,3.952,6.466,4.935,2.029,4.064,7.341,5.697,7.881,5.602
 ,14:01:04,3.687,8.393,1.286,3.134,2.753, ,2.503,7.386,5.718,1.581
773,14:01:04,7.776,8.909,4.284,1.876,1.796,7.479,7.048,5.386,2.569,8.456
560,14:01:04,3.568,8.629,5.179,1.257,7.027, ,1.547,5.195,8.768,4.247
560,14:01:04, ,5.495,1.617,1.642,2.995,2.26,1.103,6.611,3.523,6.837
