batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
689,14:01:04, ,2.326,4.012,2.184,6.002,3.203,5.908,5.603,4.839,2.843
450,14:01:04,3.118,7.398,3.618,8.282,4.642,2.315,7.283,8.683,6.95,4.078
230,14:01:04,2.556, ,1.751,7.377,1.045,7.329,5.032,2.281,5.504,7.548
366,14:01:04,5.37,2.409,8.018,2.631,4.143,6.349, ,4.515,8.62,1.991
859,14:01:04,8.86,5.631, ,3.699,8.612,2.274,5.888,4.089,6.273,5.002
423,14:01:04,4.406,3.95,2.885,1.561,8.111,7.323,3.507,5.516,2.191,3.772
870,14:01:04,6.378,4.41,3.696,8.892,6.635,4.055,5.053,1.588, ,3.05
334,14:01:04,8.95,4.75,7.142,2.309,3.082,8.201,3.183,8.78,7.626,2.618
676,14:01:04,8.302,7.351,1.179,2.673,3.565,4.785,8.946,4.78, ,3.452
297,14:01:04,5.703,7.162,7.908,6.799,3.226,6.173,4.048,3.464,6.201,1.259
