batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
55,14:01:04,5.177,7.78,1.793,8.787,1.292,1.755,7.04, ,8.514,3.581
72,14:01:04,3.515,6.334,4.366,1.093,2.303,2.545, ,5.578,5.854,6.984
490,14:01:04,2.532,2.695,4.302,1.372,6.092,4.266,6.201,3.439,4.955,4.137
819,14:01:04,1.713,5.278,2.602,1.642,4.88,4.867,1.339,8.135,8.112,2.75
156,14:01:04,5.134,8.233,2.288,8.933,2.805,6.694,1.977,1.976, ,7.854
828,14:01:04,5.432,5.422,2.091,8.606,2.2,6.073,7.025,6.703,5.256,8.799
499,14:01:04, ,7.369,4.784,5.21,6.717,3.525,5.713, ,8.536,8.978
317,14:01:04,6.628,5.927,1.92,2.636,1.983,6.932,1.621,2.17, ,4.198
129,14:01:04,8.931,7.392,4.907,8.38,2.745,8.443, ,5.749,1.674,4.038
302,14:01:04,4.779,3.278,6.406,8.596,1.053,7.107,4.19,4.522,2.048,1.118
