batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
790,14:01:04,1.669,1.491,2.365,4.252,2.258,2.306,6.796,4.934,5.165,1.704
268,14:01:04, ,7.18,6.843,8.578,5.552,7.574,6.523,8.973,6.182,3.772
268,14:01:04,5.53,5.956,8.057,6.839,5.142,1.436, ,6.669,5.405,6.003
 ,14:01:04,2.946,8.356,1.293,4.576,8.919,8.925, ,4.987,7.707,2.148
16,14:01:04,8.945,2.871,4.549,6.185,5.145,3.615,5.148,3.749,5.622,1.032
515,14:01:04,2.982,7.028,6.701,1.156, ,1.413,7.497,8.72,2.462,3.768
 ,14:01:04,5.697,7.276,5.708,3.846,5.03,3.703,1.54,1.112,6.557,8.353
268,14:01:04,7.07,8.634,1.547,5.668, ,3.582, ,7.143,7.411,7.684
354,14:01:04,1.943,2.336,3.389,1.294,2.477,7.46, ,6.944,7.946,2.603
976,14:01:04,3.973,7.671,5.253,7.773,6.313,7.465,6.886,1.31,6.038, 
