batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
53,14:01:04,6.459,7.145,8.992,6.681,2.343,1.002,1.247,4.35,1.395,6.075
777,14:01:04,4.899,1.487,4.656,2.398,5.022,8.75,1.827,2.412,1.672,2.396
609,14:01:04,6.055,7.68,3.907,8.309,7.717,8.69,5.919,4.811,5.997,8.358
754,14:01:04,3.019,5.142,6.489,1.528,1.192,2.333,1.256,8.226,8.307,3.892
53,14:01:04,8.957,5.664,4.643,2.388,3.323,7.991,3.66,3.029,6.429,6.88
129,14:01:04,1.848,1.803,2.353,3.783,4.539,2.801,3.43,7.597,5.384,4.012
843,14:01:04,4.095,1.558,7.032,3.052,6.01,8.164,3.743,7.554,2.421,1.58
843,14:01:04,8.632,5.475,4.172,3.789,1.346,2.344,7.873,6.341,6.256,6.668
968,14:01:04,3.482,8.183,5.36,2.509,4.916,2.822,6.637,3.691,8.905,5.869
145,14:01:04,1.577,3.498,4.879,8.509,2.289,7.34,2.449,2.725,1.117,6.912
