batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
416,14:01:04,7.693,6.909,8.044,1.688,8.522,8.415,4.35,2.678,2.873,1.103
364,14:01:04,1.075,3.99,6.709,6.677,7.311,7.489,5.644,8.255,7.173,4.818
466,14:01:04,6.524,7.265,8.616,2.711,6.9,7.416,8.995,2.886,1.315,5.49
968,14:01:04,5.465,8.489,5.62,1.347,6.624,5.87,2.354,3.909,7.549,5.702
372,14:01:04,8.462,1.218,1.497,5.345,5.4,6.561,3.059,8.754,6.4,2.969
819,14:01:04,8.718,6.28,2.699,3.025,2.303,3.827,6.039,2.874,2.522,7.561
645,14:01:04,3.4,2.389,6.852,5.302,8.014,3.656,8.351,7.208,2.172,4.129
634,14:01:04,7.563,5.059,2.148,3.745,3.83,3.177,7.316,8.825,1.947,7.504
674,14:01:04,5.71,8.166,4.857,8.211,2.234,4.072,6.751,8.07,3.577,4.18
121,14:01:04,4.904,2.959,4.214,7.987,3.572,3.433,8.579,8.456,8.213,4.31
