batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
278, ,7.438,4.147,3.245,6.281,3.005,1.474,2.822,1.41,2.198,6.544
906,14:01:04,8.804,5.116,1.605,4.823,7.083,2.735,1.533,6.113,7.714,7.278
119,14:01:04,1.574,6.558,6.615,7.328,1.074,7.242,4.32,1.839,5.457,3.38
532,14:01:04,3.842,3.269,2.051,2.577,6.565,2.413, ,4.9,6.654,4.307
390,14:01:04,7.373,6.022,7.524,3.375,8.797,6.124,4.831,3.411,2.048,2.519
615,14:01:04,2.746,4.984,1.583,5.694,8.165,7.964,4.245,3.902,3.161,3.233
909,14:01:04,5.419,5.345,3.244,8.713,2.94,7.552,2.42,5.518,3.119,2.44
179,14:01:04,6.131,1.549,8.56,8.468,4.686,5.608,2.66,2.325,4.115,6.375
951,14:01:04,8.444,6.461,4.107,8.951,1.944,8.069,3.351,1.479,6.431,6.843
499,14:01:04,2.82,7.846,8.778,5.082,8.543,3.741,3.564,2.429,1.61,8.451
