batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
691,14:01:04,8.601,8.285,4.568,7.589,2.037,8.738,6.822,2.263,7.848,2.251
914,14:01:04,2.279,3.932,2.969,3.935,1.236,3.028,3.7,5.337,2.759,7.595
896,14:01:04,7,078,5.404,7,019,3.852,3.967,2.296,8.621,1.994,6.386,2.341
303,14:01:04,5.253,7.411,8.567,6.668,7.297,8.783,2.489,3.05,7.061,5.957
764,14:01:04,3.874,1.464,8.638,4.826,6.061,3.232,4.161,4.93,2.984,6.69
81,14:01:04,5.552,5.423,1.026,1.443,3.256,3.434,2.275,3.541,3.056,4.458
458,14:01:04,6.376,3.556,4.963,4.647,2.284,1.008,3.686,6.421,7.596,8.252
316,14:01:04,2.883,7.231,6.716,7.542,3.97,8.605,4.682,6.812,7.6,1.137
669,14:01:04,4.759,1.619,4.525,8.095,6.703,4.822,2.599,1.553,1.883,2.179
438,14:01:04,4.02,6.399,4.085,5.493,3.809,5.633,8.416,2.561,1.06,6.526
