batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
311,14:01:04,3,673,5,676,5,199,7,291,5,511,,,,,10,677,7,778,7,912
97,14:01:04,11,372,5,445,1,845,7,951,8,935,3,584,8,503,9,395,8,975,14,994
22,14:01:04,13,752,13,561,9,914,5,853,,,7,181,1,268,13,553,,,7,298
,,14:01:04,1,996,5,239,4,235,12,199,7,283,3,874,11,559,,,2,21,5,902
957,14:01:04,13,311,,,5,794,,,13,823,11,355,6,124,8,979,3,323,13,034
17,14:01:04,10,135,6,998,10,797,11,702,14,442,5,225,12,516,9,623,14,383,10,253
115,14:01:04,13,324,,,13,834,1,799,7,225,7,595,8,407,12,853,3,985,8,209
840,14:01:04,7,928,4,81,3,284,14,722,5,528,9,119,7,506,1,09,14,698,1,442
173,14:01:04,7,612,11,036,2,754,2,033,14,724,3,444,9,964,3,852,10,121,7,846
338,14:01:04,12,522,6,11,8,609,1,659,9,686,14,174,11,175,9,904,11,826,1,27
