batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
821,14:01:04,13.088,11.766,9.666,2.703,7.17,6.804,2.549,4.781,13.63,12.247
153,14:01:04,3.33,10.173,2.313,12.053,3.408,6.487,4.963,9.499,14.265,5.095
108,14:01:04,6.688,12.131,1.642,13.0,1.208,14.55,8.73,6.936,13.955,9.651
647,14:01:04,14.05,7.541,1.845,10.256,4.794,12.362,14.693,14.631,3.66,9.802
821,14:01:04,10.572,10.196,12.984,3.285,3.979,1.007,3.551,5.949,12.599,14.417
470,14:01:04,10.32,5.026,1.32,10.321,6.801,7.183,6.596,4.184,1.181,9.136
64,14:01:04,2.172,9.616,10.254,10.269,4.17,6.899,8.593,13.734,3.28,14.117
64,14:01:04,1.247,1.787,8.909,12.919,13.188,10.94,13.291,12.354,2.293,13.797
748,14:01:04,4.592,4.067,13.569,1.605,4.792,9.099,5.913,8.44,8.041,13.3
410,14:01:04,14.784,4.187,10.984,6.105,10.325,13.713,8.521,13.42,8.302,1.151
