batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
432,14:01:04,2.947,5.095,8.312,8.326,1.198,4.374,1.014,4.934,5.42,6.384
571,14:01:04,4.38,4.974,8.429,8.006,8.3,2.597,1.211,3.557,8.134,6.706
356,14:01:04,2.042,7.122,1.126,1.339,6.887,8.045,7.615,3.876,6.77,4.425
391,14:01:04,7.092,8.318,1.317,5.209,3.483,4.739,8.464,3.931,5.738,4.83
451,14:01:04,6.289,7.506,2.083,8.981,7.1,5.322,5.893,4.379,4.425,6.877
775,14:01:04,1.354,7.558,7.167,6.02,1.591,3.897,3.79,2.037,4.094,2.558
781,14:01:04,1.854,7.49,6.048,1.407,2.666,1.975,8.665,6.595,2.752,2.908
684,14:01:04,8.594,1.254,8.908,1.206,7.845,2.086,1.48,4.226,3.87,3.097
242,14:01:04,3.561,3.822,1.199,7.621,5.168,5.825,7.517,4.513,1.239,8.267
843,14:01:04,2.984,3.1,1.09,4.618,4.937,1.135,5.369,1.234,1.574,5.149
