batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
779,14:01:04,1,853,3,134,3,727,6,585,7,171,4,075,7,345,7,932,2,77,6,616
920,14:01:04,6,88,5,327,3,302,1,679,8,998,8,457,4,185,7,456,2,102,5,711
779,14:01:04,2,475,4,976,7,814,6,25,7,844,3,962,3,357,7,853,4,223,2,968
469,14:01:04,7,992,7,588,4,536,4,594,7,976,7,063,5,992,1,009,7,246,5,418
884,14:01:04,2,658,8,672,5,939,4,947,5,848,5,63,1,012,2,345,6,728,7,198
600,14:01:04,2,111,8,48,2,338,3,517,1,798,3,56,2,71,4,333,5,645,6,191
316,14:01:04,6,722,4,755,7,354,8,499,4,327,3,19,5,519,7,57,8,118,4,089
871,14:01:04,7,107,4,468,6,893,3,915,8,383,8,075,8,763,2,347,1,015,1,024
905,14:01:04,4,3,7,805,8,006,8,78,1,65,8,176,6,408,3,375,7,977,7,869
316,14:01:04,1,088,2,966,5,168,1,274,5,414,3,607,1,01,6,753,3,669,5,254
