batch_id, ,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
649,14:01:04, ,13.453,4.935,1.687,11.039,11.532,14.265,4.7,6.736,10.355
462,14:01:04,2.156,1.334,3.345,7.48,7.015,10.712,11.194,9.808,14.331,6.558
526,14:01:04,1.541,2.529,7.439,4.984,8.095,9.921,12.998,10.608,11.841,9.623
685,14:01:04,11.774,3.496,7.082,6.029,3.341,10.484,5.028,6.056,3.661,11.23
688,14:01:04,4.507,7.482,7.784,5.784,3.979,7.239,12.287,6.233,5.328,11.563
649,14:01:04,10.252,13.937,3.28,2.189,7.747,6.486,12.004,5.684,6.417,4.534
505,14:01:04,6.757,9.123,4.04,11.091,1.162,1.595,1.105,6.913,12.297,12.163
216,14:01:04,3.034,14.474,7.289,12.77,2.055,9.048,6.829,11.537,14.399,5.374
876, ,6.504,8.39,6.208,12.84,6.247,10.4,1.955,14.476,5.929,3.689
279,14:01:04,13.108,1.648,3.624,11.697,12.013,2.629,6.093,7.794,6.859,13.782
