batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
765,14:01:04,5.342,6.614,6.568,1.547,7.079,8.235,1.366, ,2.629,2.02
168,14:01:04,1.06,7.764,6.646,3.461,2.413,1.818,3.804,6.517,3.632,3.93
971,14:01:04,3.91,3.336,3.031,8.301,3.372,5.454,3.286,2.89,6.493,8.429
372,14:01:04,6.842,1.985,7.903,7.76,4.833,7.054,8.345, ,4.023, 
732,14:01:04,5.17,4.667,7.617,6.933,1.258,8.69,6.839,5.143,5.395, 
135, ,7.244,6.15,1.426,7.63,1.282,8.805,6.635,2.74,4.823,1.556
128,14:01:04,1.432,7.848,7.586,5.047,6.048,8.227,4.308,4.198,2.306, 
327,14:01:04,2.745,7.74,2.338,2.032,5.384,2.187,4.218,5.716,2.489,3.67
862,14:01:04,5.089,1.873,8.41,1.19,2.306,7.028,1.728,1.935,3.834,8.13
895,14:01:04,7.385,4.754,3.0,6.054,3.825,4.245,5.056,8.378,4.818,2.54
