batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
909,14:01:04,4.823,2.029,2.253,4.665,2.582,4.664,8.89,2.115,6.543,1.824
28,14:01:04,6.577,3.92,8.907,6.783,7.251,7.572,2.244,8.456,4.048,7.639
498,14:01:04,6.811,1.858,8.423,3.933,3.006,3.586,3.862,6.029,2.319,1.396
590,14:01:04,7.197,2.159,1.428,8.582,4.507,8.777,1.418,8.681,3.559,6.005
909,14:01:04,1.047,1.663,6.772,1.998,1.15,1.092,4.331,7.452,6.016,3.276
269,14:01:04,7.332,1.765,8.848,8.014,6.69,4.603,7.805,4.964,5.67,3.093
16,14:01:04,6.522,4.138,3.408,6.66,1.578,6.352,1.058,1.5,8.741,1.494
16,14:01:04,8.881,2.212,1.021,4.521,5.202,7.1,4.621,4.782,7.293,7.598
358,14:01:04,6.88,2.826,2.866,1.638,8.98,1.752,6.105,7.921,3.678,2.303
1000,14:01:04,2.943,4.522,1.894,3.666,4.079,8.99,3.108,3.891,7.505,2.1
