batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
826,14:01:04,6.111,6.446,5.278,4.918,7.79,6.004,7.482,7.531,7.288,7.988
10,14:01:04,2.691,5.929,3.976,1.955,8.47,4.346,2.583,8.013,3.921,2.215
861,14:01:04,4.443,6.058,7.784,7.116,4.3,2.467,5.753,2.29,1.97,5.788
164,14:01:04,2.834,4.207,1.449,3.26,6.511,5.097,5.425,4.786,8.436,2.012
140,14:01:04,7.162,8.484,4.875,4.867,2.064,6.766,5.976,2.415,6.989,2.253
422,14:01:04,8.435,2.088,3.268,5.822,6.813,2.95,7.899,2.996,1.91,7.032
344,14:01:04,7.963,3.107,4.813,2.301,2.625,5.155,4.545,3.839,7.925,2.632
815,14:01:04,1.778,1.92,1.931,5.078,7.055,3.316,5.928,7.838,2.384,5.725
143,14:01:04,2.536,1.951,1.437,6.866,5.929,3.999,7.562,2.668,3.852,4.558
319,14:01:04,4.133,1.956,7.983,3.457,7.882,3.7,1.876,5.579,5.108,6.685
