batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
582,14:01:04,2.282,8.201,7.088,6.999,8.339,1.211,1.362,1.555,2.514,1.891
193,14:01:04,1.586,7.777,6.448,7.336,4.897,3.423,4.114,3.516,5.373,5.47
542,14:01:04,7.65,2.415,2.645,5.717,3.785,1.403,5.287,7.311,5.492,6.289
362,14:01:04,8.608,1.498,7.623,4.519,3.487,6.48,1.003,6.038,2.675,6.072
495,14:01:04,4.8,4.443,2.37,4.97,7.442,2.55,5.483,5.076,8.988,4.121
296,14:01:04,3.414,7.005,1.762,8.75,5.655,5.579,7.541,8.373,5.359,2.713
895,14:01:04,3.193,8.173,4.729,7.7,4.538,3.209,6.273,3.174,3.614,7.475
902,14:01:04,4.683,1.824,6.996,5.967,3.639,2.655,6.437,5.014,5.354,6.656
93,14:01:04,6.449,2.957,4.982,3.819,3.269,4.621,8.385,8.427,8.266,2.8
78,14:01:04,2.224,1.6,7.263,3.416,3.807,4.868,7.826,7.631,3.379,7.551
