batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
596,14:01:04,3.833,3.789,5.482,2.432,1.06,5.685,6.485,1.955,5.148,1.729
810,14:01:04,3.793,2.946,7.997,2.596,8.573,2.864,1.438,3.598,5.958,3.385
788,14:01:04,8.379,7.05,2.117,5.007,3.232,6.83,6.662,4.746,1.304,8.652
33,14:01:04,6.854,3.69,6.976,2.205,8.042,8.718,3.54,8.665,1.21,7.938
211,14:01:04,6.598,2.418,4.894,4.703,2.426,1.481,1.004,3.609,5.317,6.205
202,14:01:04,8.343,2.319,3.124,6.217,6.1,5.615,1.94,8.842,5.941,8.405
333,14:01:04,7.476,2.217,1.861,5.757,2.943,3.95,6.057,5.631,6.62,5.66
938,14:01:04,8.528,7.861,4.401,4.375,7.781,1.028,2.054,7.868,7.366,5.343
234,14:01:04,8.504,2.6,1.901,8.189,8.227,3.938,1.28,5.291,1.302,6.557
795,14:01:04,8.357,2.69,1.976,8.184,1.794,1.071,3.223,2.124,4.156,3.565
