batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
217,14:01:04,5.458,1.089,6.285,5.372,7.711,2.21,5.827,4.147,8.382,3.731
252,14:01:04,1.055,4.505,2.523,3.085,7.061,5.828,1.559,6.023,1.635,1.728
505,14:01:04,5.271,4.576,1.252,5.326,3.83,2.292,5.671,4.096,2.431,2.212
359,14:01:04,6.164,2.081,7.178,7.504,1.378,2.198,6.403,5.167,1.686,1.473
274,14:01:04,5.681,8.852,1.911,8.162,2.587,2.526,1.969,1.066,2.477,6.406
921,14:01:04,7.347,3.723,5.181,3.64,5.042,6.068,7.841,5.932,7.722,8.423
152,14:01:04,6.202,2.447,7.822,5.109,8.055,8.853,6.646,3.715,3.837,6.997
783,14:01:04,1.369,3.608,8.504,7.431,4.332,1.441,5.547,1.489,4.817,7.111
16,14:01:04,7.632,6.847,4.464,6.901,8.822,4.114,4.182,3.71,8.48,8.481
256,14:01:04,5.012,2.435,8.82,7.191,7.815,6.677,2.754,1.193,1.623,1.393
