batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
761,14:01:04,5.084,1.738,2.172,8.871,7.35,7.7,8.568,5.905,8.438,1.787
72,14:01:04,6.598,7.281,2.785,5.879,7.017,4.128,8.912,1.486,1.958,4.191
73,14:01:04,4.027,1.872,2.223,6.69,4.819,3.524,3.551,3.532,6.407,2.651
556,14:01:04,6.004,8.347,1.772,4.3,5.555,3.161,6.998,7.005,8.571,2.14
520,14:01:04,6.996,1.581,5.656,2.929,8.951,1.358,7.124,4.376,8.167,3.041
243,14:01:04,6.349,5.501,1.062,7.557,2.598,3.347,7.826,7.814,1.428,5.358
7,14:01:04,6.762,8.354,6.177,6.67,8.701,1.992,2.119,1.252,5.319,4.251
154,14:01:04,3.131,7.553,4.215,4.275,8.876,7.889,8.36,4.404,3.786,5.688
449,14:01:04,7.794,1.109,7.128,7.924,1.548,8.801,6.064,6.683,7.362,6.431
385,14:01:04,4.118,1.372,7.597,1.272,3.87,2.622,1.487,8.229,5.657,6.744
