batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
299,14:01:04,8.291,3.727,2.737,3.714,1.564,2.682,3.887,1.678,8.474,8.015
548,14:01:04,5.336,7.251,6.725,1.587,5.088,4.182,2.047,6.702,4.29,2.025
982,14:01:04,3.25,5.688,4.966,1.394,4.091,4.534,7.074,4.192,6.106,4.853
99,14:01:04,1.631,7.308,3.396,3.453,4.475,7.109,1.665,3.091,2.426,1.213
235,14:01:04,6.007,7.265,1.664,1.708,6.903,3.243,3.718,4.842,5.252,7.382
527,14:01:04,8.532,8.303,5.382,7.884,6.276,2.81,5.927,7.128,4.671,5.824
618,14:01:04,8.922,2.472,5.514,7.073,8.842,2.83,1.912,7.527,5.144,3.74
401,14:01:04,2.143,6.087,4.127,3.241,6.699,1.759,4.691,8.914,2.049,6.677
663,14:01:04,3.171,7.094,7.746,1.114,3.104,4.494,7.515,4.033,3.612,3.736
529,14:01:04,4.681,3.707,3.513,2.316,2.52,2.678,3.298,2.825,4.708,1.651
